"Term","Building Code","Room","Room Description","Category","Room Gender","Capacity","Occupancy","Available"
"Fall 2022","ALUMNI","A-2A","double","A section","N/A","2","1","1"
"Fall 2022","ALUMNI","A-2C","double","A section","N/A","2","1","1"
"Fall 2022","ALUMNI","A-3A","double","A section","N/A","2","1","1"
"Fall 2022","ALUMNI","B-1A","Double","RA Apartment","N/A","1","0","1"
"Fall 2022","ALUMNI","B-2A","double","B section","N/A","2","1","1"
"Fall 2022","ALUMNI","B-3A","Double","B section","N/A","2","1","1"
"Fall 2022","ALUMNI","B-3C","double","B section","N/A","2","1","1"
"Fall 2022","ALUMNI","B-4B","double","B section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-1B","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-1C","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-2A","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-2B","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-2C","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-3A","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-3B","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-3C","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-4B","double","C section","N/A","2","1","1"
"Fall 2022","ALUMNI","C-4C","double","C section","N/A","2","0","2"
"Fall 2022","ALUMNI","D-1A","double","D section","N/A","2","1","1"
"Fall 2022","ALUMNI","D-1B","double","D section","N/A","2","1","1"
"Fall 2022","ALUMNI","D-1C","double","D section","N/A","2","1","1"
"Fall 2022","ALUMNI","D-2A","double","D section","N/A","2","1","1"
"Fall 2022","ALUMNI","D-2B","double","D section","N/A","2","0","2"
"Fall 2022","ALUMNI","D-3A","double","D section","N/A","2","1","1"
"Fall 2022","ALUMNI","D-3B","double","D section","N/A","2","1","1"
"Fall 2022","ALUMNI","D-3C","double","D section","N/A","2","1","1"
"Fall 2022","BELL","001C2","double space","Ground floor","N/A","1","0","1"
"Fall 2022","BELL","002C2","double space","Ground floor","N/A","1","0","1"
"Fall 2022","BELL","102A2","double space","First floor","N/A","1","0","1"
"Fall 2022","BELL","107C","single","First floor","N/A","1","0","1"
"Fall 2022","BELL","402C2","double space","Fourth Floor","N/A","1","0","1"
"Fall 2022","BELL","405C1","double space","Fourth Floor","N/A","1","0","1"
"Fall 2022","BELL","405C2","double space","Fourth Floor","N/A","1","0","1"
"Fall 2022","BELL","407A","single","Fourth Floor","N/A","1","0","1"
"Fall 2022","BOEHLT","100A","Suite double","","N/A","2","0","2"
"Fall 2022","BOEHLT","100C","Suite single","","N/A","1","0","1"
"Fall 2022","BOEHLT","102A","Suite double","","N/A","2","1","1"
"Fall 2022","BOEHLT","200A","Double suite","","N/A","2","1","1"
"Fall 2022","BOEHLT","200D","Double suite","","N/A","2","1","1"
